epiweek,South,Southeast,Midwest,North,Northeast,Brazil
1,1225,4250,638,993,1613,8719
2,1587,4841,669,1880,1910,10887
3,1224,4256,698,1698,1470,9346
4,1367,4140,718,1780,1780,9785
5,938,4207,762,1625,2026,9558
6,1122,3311,737,1261,1947,8378
7,1507,3633,767,1342,2228,9477
8,2368,4387,952,1076,2879,11662
9,3233,5099,1206,1226,3538,14302
10,4537,6447,1888,1337,4540,18749
11,5296,9268,2328,1559,5109,23560
12,4752,12538,2558,1702,5183,26733
13,4166,13430,2513,1644,5735,27488
14,3353,12122,2084,1143,5188,23890
15,2875,10103,1999,1036,4635,20648
16,2551,8661,1583,795,4295,17885
17,2498,7197,1352,652,3583,15282
18,2559,7131,1080,515,3170,14455
19,2466,6740,1197,423,3463,14289
20,2722,6974,1108,440,3395,14639
21,2642,7097,1086,488,3695,15008
22,2699,5738,1226,481,3535,13679
23,2507,5703,1161,488,3269,13128
24,2211,5177,1098,463,3153,12102
25,2000,4914,1035,284,2712,10945
26,1901,4719,1155,349,2390,10514
27,1637,5041,987,372,2011,10048
28,869,3650,893,315,1617,7344
29,970,2730,846,332,1370,6248
30,856,3352,1148,294,1463,7113
31,820,3785,975,207,1415,7202
32,559,3009,846,276,1354,6044
33,684,2952,717,279,954,5586
34,460,2347,778,285,1043,4913
35,375,1891,580,201,940,3987
36,520,2219,595,159,1046,4539
37,463,1700,396,147,848,3554
38,492,1607,500,172,1044,3815
39,516,1970,372,190,787,3835
40,550,1690,440,238,927,3845
41,672,1971,460,201,710,4014
42,589,1595,476,171,933,3764
43,575,1327,405,183,850,3340
44,683,1401,355,143,871,3453
45,624,1561,291,132,950,3558
46,686,1448,298,147,1030,3609
47,544,1717,344,122,991,3718
48,526,1844,331,138,1096,3935
49,634,1857,265,129,940,3825
50,454,2168,259,141,1028,4050
51,405,1751,345,277,1380,4158
52,487,2987,481,388,1860,6203
53,0,0,0,0,0,0
