state,sex,  overmortality_conass  ,year
BR,female, 0.17 ,2020
BR,male, 0.22 ,2020
CO,female, 0.27 ,2020
CO,male, 0.31 ,2020
N,female, 0.38 ,2020
N,male, 0.50 ,2020
NE,female, 0.22 ,2020
NE,male, 0.29 ,2020
S,female, 0.08 ,2020
S,male, 0.11 ,2020
SE,female, 0.14 ,2020
SE,male, 0.18 ,2020
BR,female, 0.32 ,2021
BR,male, 0.35 ,2021
CO,female, 0.47 ,2021
CO,male, 0.49 ,2021
N,female, 0.40 ,2021
N,male, 0.43 ,2021
NE,female, 0.30 ,2021
NE,male, 0.32 ,2021
S,female, 0.30 ,2021
S,male, 0.34 ,2021
SE,female, 0.31 ,2021
SE,male, 0.34 ,2021
