country,year,age_groups,ex,sex
JPN,1947,0,53.69,female
JPN,1947,1-4,57.27,female
JPN,1947,5-9,57.4,female
JPN,1947,10-14,53.27,female
JPN,1947,15-19,48.76,female
JPN,1947,20-24,44.82,female
JPN,1947,25-29,41.43,female
JPN,1947,30-34,37.88,female
JPN,1947,35-39,34.16,female
JPN,1947,40-44,30.31,female
JPN,1947,45-49,26.43,female
JPN,1947,50-54,22.55,female
JPN,1947,55-59,18.83,female
JPN,1947,60-64,15.27,female
JPN,1947,65-69,12.11,female
JPN,1947,70-74,9.26,female
JPN,1947,75-79,6.89,female
JPN,1947,80-84,5,female
JPN,1947,85-89,3.67,female
JPN,1947,90-94,2.64,female
JPN,1947,95-99,2.05,female
JPN,1947,100-104,1.64,female
JPN,1947,105-109,1.39,female
JPN,1947,110+,1.25,female
JPN,1948,0,58.66,female
JPN,1948,1-4,61.19,female
JPN,1948,5-9,59.67,female
JPN,1948,10-14,55.31,female
JPN,1948,15-19,50.73,female
JPN,1948,20-24,46.61,female
JPN,1948,25-29,43.12,female
JPN,1948,30-34,39.5,female
JPN,1948,35-39,35.66,female
JPN,1948,40-44,31.74,female
JPN,1948,45-49,27.79,female
JPN,1948,50-54,23.86,female
JPN,1948,55-59,20.1,female
JPN,1948,60-64,16.51,female
JPN,1948,65-69,13.22,female
JPN,1948,70-74,10.31,female
JPN,1948,75-79,7.83,female
JPN,1948,80-84,5.78,female
JPN,1948,85-89,4.27,female
JPN,1948,90-94,3.2,female
JPN,1948,95-99,2.38,female
JPN,1948,100-104,1.87,female
JPN,1948,105-109,1.54,female
JPN,1948,110+,1.36,female
JPN,1949,0,59.46,female
JPN,1949,1-4,62.16,female
JPN,1949,5-9,60.71,female
JPN,1949,10-14,56.34,female
JPN,1949,15-19,51.71,female
JPN,1949,20-24,47.47,female
JPN,1949,25-29,43.76,female
JPN,1949,30-34,40.02,female
JPN,1949,35-39,36.1,female
JPN,1949,40-44,32.1,female
JPN,1949,45-49,28.07,female
JPN,1949,50-54,24.08,female
JPN,1949,55-59,20.25,female
JPN,1949,60-64,16.6,female
JPN,1949,65-69,13.28,female
JPN,1949,70-74,10.32,female
JPN,1949,75-79,7.8,female
JPN,1949,80-84,5.7,female
JPN,1949,85-89,4.13,female
JPN,1949,90-94,3.08,female
JPN,1949,95-99,2.29,female
JPN,1949,100-104,1.8,female
JPN,1949,105-109,1.49,female
JPN,1949,110+,1.31,female
JPN,1950,0,60.89,female
JPN,1950,1-4,63.26,female
JPN,1950,5-9,61.53,female
JPN,1950,10-14,57.13,female
JPN,1950,15-19,52.46,female
JPN,1950,20-24,48.09,female
JPN,1950,25-29,44.12,female
JPN,1950,30-34,40.19,female
JPN,1950,35-39,36.14,female
JPN,1950,40-44,32.04,female
JPN,1950,45-49,27.95,female
JPN,1950,50-54,23.92,female
JPN,1950,55-59,20.05,female
JPN,1950,60-64,16.36,female
JPN,1950,65-69,13,female
JPN,1950,70-74,10.06,female
JPN,1950,75-79,7.54,female
JPN,1950,80-84,5.45,female
JPN,1950,85-89,3.93,female
JPN,1950,90-94,2.83,female
JPN,1950,95-99,2.15,female
JPN,1950,100-104,1.7,female
JPN,1950,105-109,1.41,female
JPN,1950,110+,1.26,female
JPN,1951,0,62.62,female
JPN,1951,1-4,64.91,female
JPN,1951,5-9,63.08,female
JPN,1951,10-14,58.63,female
JPN,1951,15-19,53.92,female
JPN,1951,20-24,49.41,female
JPN,1951,25-29,45.19,female
JPN,1951,30-34,41.05,female
JPN,1951,35-39,36.85,female
JPN,1951,40-44,32.64,female
JPN,1951,45-49,28.45,female
JPN,1951,50-54,24.37,female
JPN,1951,55-59,20.41,female
JPN,1951,60-64,16.69,female
JPN,1951,65-69,13.25,female
JPN,1951,70-74,10.25,female
JPN,1951,75-79,7.7,female
JPN,1951,80-84,5.65,female
JPN,1951,85-89,4.11,female
JPN,1951,90-94,2.97,female
JPN,1951,95-99,2.21,female
JPN,1951,100-104,1.73,female
JPN,1951,105-109,1.44,female
JPN,1951,110+,1.28,female
JPN,1952,0,64.68,female
JPN,1952,1-4,66.67,female
JPN,1952,5-9,64.38,female
JPN,1952,10-14,59.85,female
JPN,1952,15-19,55.1,female
JPN,1952,20-24,50.49,female
JPN,1952,25-29,46.13,female
JPN,1952,30-34,41.83,female
JPN,1952,35-39,37.52,female
JPN,1952,40-44,33.21,female
JPN,1952,45-49,28.95,female
JPN,1952,50-54,24.78,female
JPN,1952,55-59,20.8,female
JPN,1952,60-64,17.04,female
JPN,1952,65-69,13.53,female
JPN,1952,70-74,10.49,female
JPN,1952,75-79,7.9,female
JPN,1952,80-84,5.8,female
JPN,1952,85-89,4.18,female
JPN,1952,90-94,3.03,female
JPN,1952,95-99,2.29,female
JPN,1952,100-104,1.79,female
JPN,1952,105-109,1.47,female
JPN,1952,110+,1.3,female
JPN,1953,0,65.09,female
JPN,1953,1-4,67.05,female
JPN,1953,5-9,64.6,female
JPN,1953,10-14,60.04,female
JPN,1953,15-19,55.25,female
JPN,1953,20-24,50.6,female
JPN,1953,25-29,46.17,female
JPN,1953,30-34,41.79,female
JPN,1953,35-39,37.4,female
JPN,1953,40-44,33.03,female
JPN,1953,45-49,28.71,female
JPN,1953,50-54,24.51,female
JPN,1953,55-59,20.48,female
JPN,1953,60-64,16.68,female
JPN,1953,65-69,13.15,female
JPN,1953,70-74,10.06,female
JPN,1953,75-79,7.5,female
JPN,1953,80-84,5.43,female
JPN,1953,85-89,3.86,female
JPN,1953,90-94,2.84,female
JPN,1953,95-99,2.1,female
JPN,1953,100-104,1.65,female
JPN,1953,105-109,1.38,female
JPN,1953,110+,1.24,female
JPN,1954,0,66.58,female
JPN,1954,1-4,68.38,female
JPN,1954,5-9,65.74,female
JPN,1954,10-14,61.17,female
JPN,1954,15-19,56.36,female
JPN,1954,20-24,51.68,female
JPN,1954,25-29,47.23,female
JPN,1954,30-34,42.82,female
JPN,1954,35-39,38.41,female
JPN,1954,40-44,34.01,female
JPN,1954,45-49,29.65,female
JPN,1954,50-54,25.42,female
JPN,1954,55-59,21.38,female
JPN,1954,60-64,17.53,female
JPN,1954,65-69,13.95,female
JPN,1954,70-74,10.82,female
JPN,1954,75-79,8.16,female
JPN,1954,80-84,5.99,female
JPN,1954,85-89,4.31,female
JPN,1954,90-94,3.04,female
JPN,1954,95-99,2.29,female
JPN,1954,100-104,1.77,female
JPN,1954,105-109,1.46,female
JPN,1954,110+,1.29,female
JPN,1955,0,67.78,female
JPN,1955,1-4,69.33,female
JPN,1955,5-9,66.41,female
JPN,1955,10-14,61.77,female
JPN,1955,15-19,56.96,female
JPN,1955,20-24,52.25,female
JPN,1955,25-29,47.73,female
JPN,1955,30-34,43.25,female
JPN,1955,35-39,38.78,female
JPN,1955,40-44,34.34,female
JPN,1955,45-49,29.95,female
JPN,1955,50-54,25.69,female
JPN,1955,55-59,21.6,female
JPN,1955,60-64,17.7,female
JPN,1955,65-69,14.1,female
JPN,1955,70-74,10.91,female
JPN,1955,75-79,8.24,female
JPN,1955,80-84,6.05,female
JPN,1955,85-89,4.38,female
JPN,1955,90-94,3.24,female
JPN,1955,95-99,2.38,female
JPN,1955,100-104,1.85,female
JPN,1955,105-109,1.51,female
JPN,1955,110+,1.33,female
JPN,1956,0,67.68,female
JPN,1956,1-4,69.24,female
JPN,1956,5-9,66.25,female
JPN,1956,10-14,61.6,female
JPN,1956,15-19,56.76,female
JPN,1956,20-24,52.04,female
JPN,1956,25-29,47.49,female
JPN,1956,30-34,42.96,female
JPN,1956,35-39,38.47,female
JPN,1956,40-44,33.99,female
JPN,1956,45-49,29.56,female
JPN,1956,50-54,25.27,female
JPN,1956,55-59,21.17,female
JPN,1956,60-64,17.28,female
JPN,1956,65-69,13.67,female
JPN,1956,70-74,10.48,female
JPN,1956,75-79,7.82,female
JPN,1956,80-84,5.67,female
JPN,1956,85-89,4.09,female
JPN,1956,90-94,2.9,female
JPN,1956,95-99,2.17,female
JPN,1956,100-104,1.7,female
JPN,1956,105-109,1.41,female
JPN,1956,110+,1.25,female
JPN,1957,0,67.63,female
JPN,1957,1-4,69.08,female
JPN,1957,5-9,66.02,female
JPN,1957,10-14,61.36,female
JPN,1957,15-19,56.54,female
JPN,1957,20-24,51.81,female
JPN,1957,25-29,47.26,female
JPN,1957,30-34,42.73,female
JPN,1957,35-39,38.23,female
JPN,1957,40-44,33.75,female
JPN,1957,45-49,29.33,female
JPN,1957,50-54,25.04,female
JPN,1957,55-59,20.92,female
JPN,1957,60-64,17.01,female
JPN,1957,65-69,13.39,female
JPN,1957,70-74,10.17,female
JPN,1957,75-79,7.55,female
JPN,1957,80-84,5.44,female
JPN,1957,85-89,3.86,female
JPN,1957,90-94,2.79,female
JPN,1957,95-99,2.06,female
JPN,1957,100-104,1.62,female
JPN,1957,105-109,1.36,female
JPN,1957,110+,1.22,female
JPN,1958,0,69.32,female
JPN,1958,1-4,70.63,female
JPN,1958,5-9,67.42,female
JPN,1958,10-14,62.71,female
JPN,1958,15-19,57.86,female
JPN,1958,20-24,53.11,female
JPN,1958,25-29,48.53,female
JPN,1958,30-34,43.96,female
JPN,1958,35-39,39.39,female
JPN,1958,40-44,34.85,female
JPN,1958,45-49,30.38,female
JPN,1958,50-54,26.06,female
JPN,1958,55-59,21.91,female
JPN,1958,60-64,17.96,female
JPN,1958,65-69,14.27,female
JPN,1958,70-74,10.96,female
JPN,1958,75-79,8.23,female
JPN,1958,80-84,6.05,female
JPN,1958,85-89,4.39,female
JPN,1958,90-94,3.16,female
JPN,1958,95-99,2.37,female
JPN,1958,100-104,1.84,female
JPN,1958,105-109,1.5,female
JPN,1958,110+,1.32,female
JPN,1959,0,69.8,female
JPN,1959,1-4,70.93,female
JPN,1959,5-9,67.66,female
JPN,1959,10-14,62.95,female
JPN,1959,15-19,58.1,female
JPN,1959,20-24,53.34,female
JPN,1959,25-29,48.71,female
JPN,1959,30-34,44.11,female
JPN,1959,35-39,39.53,female
JPN,1959,40-44,34.99,female
JPN,1959,45-49,30.51,female
JPN,1959,50-54,26.15,female
JPN,1959,55-59,21.99,female
JPN,1959,60-64,18.02,female
JPN,1959,65-69,14.3,female
JPN,1959,70-74,10.98,female
JPN,1959,75-79,8.2,female
JPN,1959,80-84,5.97,female
JPN,1959,85-89,4.33,female
JPN,1959,90-94,3.09,female
JPN,1959,95-99,2.33,female
JPN,1959,100-104,1.81,female
JPN,1959,105-109,1.48,female
JPN,1959,110+,1.31,female
JPN,1960,0,70.15,female
JPN,1960,1-4,71.13,female
JPN,1960,5-9,67.75,female
JPN,1960,10-14,63.01,female
JPN,1960,15-19,58.14,female
JPN,1960,20-24,53.36,female
JPN,1960,25-29,48.7,female
JPN,1960,30-34,44.07,female
JPN,1960,35-39,39.44,female
JPN,1960,40-44,34.87,female
JPN,1960,45-49,30.35,female
JPN,1960,50-54,25.99,female
JPN,1960,55-59,21.79,female
JPN,1960,60-64,17.79,female
JPN,1960,65-69,14.05,female
JPN,1960,70-74,10.71,female
JPN,1960,75-79,7.93,female
JPN,1960,80-84,5.76,female
JPN,1960,85-89,4.13,female
JPN,1960,90-94,2.92,female
JPN,1960,95-99,2.18,female
JPN,1960,100-104,1.7,female
JPN,1960,105-109,1.4,female
JPN,1960,110+,1.25,female
JPN,1961,0,70.84,female
JPN,1961,1-4,71.66,female
JPN,1961,5-9,68.21,female
JPN,1961,10-14,63.43,female
JPN,1961,15-19,58.55,female
JPN,1961,20-24,53.76,female
JPN,1961,25-29,49.07,female
JPN,1961,30-34,44.4,female
JPN,1961,35-39,39.76,female
JPN,1961,40-44,35.15,female
JPN,1961,45-49,30.62,female
JPN,1961,50-54,26.22,female
JPN,1961,55-59,21.99,female
JPN,1961,60-64,17.98,female
JPN,1961,65-69,14.2,female
JPN,1961,70-74,10.83,female
JPN,1961,75-79,7.97,female
JPN,1961,80-84,5.75,female
JPN,1961,85-89,4.12,female
JPN,1961,90-94,2.94,female
JPN,1961,95-99,2.19,female
JPN,1961,100-104,1.71,female
JPN,1961,105-109,1.41,female
JPN,1961,110+,1.25,female
JPN,1962,0,71.14,female
JPN,1962,1-4,71.87,female
JPN,1962,5-9,68.35,female
JPN,1962,10-14,63.54,female
JPN,1962,15-19,58.66,female
JPN,1962,20-24,53.83,female
JPN,1962,25-29,49.11,female
JPN,1962,30-34,44.42,female
JPN,1962,35-39,39.75,female
JPN,1962,40-44,35.13,female
JPN,1962,45-49,30.58,female
JPN,1962,50-54,26.15,female
JPN,1962,55-59,21.93,female
JPN,1962,60-64,17.88,female
JPN,1962,65-69,14.09,female
JPN,1962,70-74,10.69,female
JPN,1962,75-79,7.81,female
JPN,1962,80-84,5.62,female
JPN,1962,85-89,4,female
JPN,1962,90-94,2.86,female
JPN,1962,95-99,2.12,female
JPN,1962,100-104,1.66,female
JPN,1962,105-109,1.38,female
JPN,1962,110+,1.23,female
JPN,1963,0,72.29,female
JPN,1963,1-4,72.82,female
JPN,1963,5-9,69.22,female
JPN,1963,10-14,64.39,female
JPN,1963,15-19,59.49,female
JPN,1963,20-24,54.64,female
JPN,1963,25-29,49.89,female
JPN,1963,30-34,45.17,female
JPN,1963,35-39,40.48,female
JPN,1963,40-44,35.83,female
JPN,1963,45-49,31.27,female
JPN,1963,50-54,26.83,female
JPN,1963,55-59,22.56,female
JPN,1963,60-64,18.49,female
JPN,1963,65-69,14.65,female
JPN,1963,70-74,11.23,female
JPN,1963,75-79,8.3,female
JPN,1963,80-84,6,female
JPN,1963,85-89,4.3,female
JPN,1963,90-94,3.13,female
JPN,1963,95-99,2.3,female
JPN,1963,100-104,1.78,female
JPN,1963,105-109,1.46,female
JPN,1963,110+,1.29,female
JPN,1964,0,72.76,female
JPN,1964,1-4,73.13,female
JPN,1964,5-9,69.5,female
JPN,1964,10-14,64.66,female
JPN,1964,15-19,59.76,female
JPN,1964,20-24,54.9,female
JPN,1964,25-29,50.13,female
JPN,1964,30-34,45.39,female
JPN,1964,35-39,40.68,female
JPN,1964,40-44,36.02,female
JPN,1964,45-49,31.45,female
JPN,1964,50-54,27,female
JPN,1964,55-59,22.71,female
JPN,1964,60-64,18.61,female
JPN,1964,65-69,14.75,female
JPN,1964,70-74,11.28,female
JPN,1964,75-79,8.34,female
JPN,1964,80-84,6.04,female
JPN,1964,85-89,4.33,female
JPN,1964,90-94,3.12,female
JPN,1964,95-99,2.3,female
JPN,1964,100-104,1.77,female
JPN,1964,105-109,1.45,female
JPN,1964,110+,1.28,female
JPN,1965,0,72.85,female
JPN,1965,1-4,73.1,female
JPN,1965,5-9,69.45,female
JPN,1965,10-14,64.6,female
JPN,1965,15-19,59.69,female
JPN,1965,20-24,54.82,female
JPN,1965,25-29,50.03,female
JPN,1965,30-34,45.29,female
JPN,1965,35-39,40.56,female
JPN,1965,40-44,35.88,female
JPN,1965,45-49,31.28,female
JPN,1965,50-54,26.82,female
JPN,1965,55-59,22.51,female
JPN,1965,60-64,18.39,female
JPN,1965,65-69,14.54,female
JPN,1965,70-74,11.07,female
JPN,1965,75-79,8.09,female
JPN,1965,80-84,5.77,female
JPN,1965,85-89,4.12,female
JPN,1965,90-94,2.93,female
JPN,1965,95-99,2.18,female
JPN,1965,100-104,1.69,female
JPN,1965,105-109,1.4,female
JPN,1965,110+,1.25,female
JPN,1966,0,73.65,female
JPN,1966,1-4,73.75,female
JPN,1966,5-9,70.08,female
JPN,1966,10-14,65.23,female
JPN,1966,15-19,60.33,female
JPN,1966,20-24,55.46,female
JPN,1966,25-29,50.67,female
JPN,1966,30-34,45.91,female
JPN,1966,35-39,41.17,female
JPN,1966,40-44,36.48,female
JPN,1966,45-49,31.87,female
JPN,1966,50-54,27.39,female
JPN,1966,55-59,23.06,female
JPN,1966,60-64,18.92,female
JPN,1966,65-69,15.04,female
JPN,1966,70-74,11.53,female
JPN,1966,75-79,8.54,female
JPN,1966,80-84,6.15,female
JPN,1966,85-89,4.39,female
JPN,1966,90-94,3.17,female
JPN,1966,95-99,2.29,female
JPN,1966,100-104,1.76,female
JPN,1966,105-109,1.44,female
JPN,1966,110+,1.27,female
JPN,1967,0,74,female
JPN,1967,1-4,74.11,female
JPN,1967,5-9,70.4,female
JPN,1967,10-14,65.53,female
JPN,1967,15-19,60.63,female
JPN,1967,20-24,55.75,female
JPN,1967,25-29,50.95,female
JPN,1967,30-34,46.18,female
JPN,1967,35-39,41.42,female
JPN,1967,40-44,36.73,female
JPN,1967,45-49,32.1,female
JPN,1967,50-54,27.6,female
JPN,1967,55-59,23.25,female
JPN,1967,60-64,19.09,female
JPN,1967,65-69,15.2,female
JPN,1967,70-74,11.65,female
JPN,1967,75-79,8.62,female
JPN,1967,80-84,6.19,female
JPN,1967,85-89,4.4,female
JPN,1967,90-94,3.14,female
JPN,1967,95-99,2.28,female
JPN,1967,100-104,1.75,female
JPN,1967,105-109,1.43,female
JPN,1967,110+,1.26,female
JPN,1968,0,74.29,female
JPN,1968,1-4,74.28,female
JPN,1968,5-9,70.57,female
JPN,1968,10-14,65.7,female
JPN,1968,15-19,60.79,female
JPN,1968,20-24,55.91,female
JPN,1968,25-29,51.1,female
JPN,1968,30-34,46.32,female
JPN,1968,35-39,41.56,female
JPN,1968,40-44,36.85,female
JPN,1968,45-49,32.22,female
JPN,1968,50-54,27.7,female
JPN,1968,55-59,23.35,female
JPN,1968,60-64,19.18,female
JPN,1968,65-69,15.26,female
JPN,1968,70-74,11.69,female
JPN,1968,75-79,8.63,female
JPN,1968,80-84,6.19,female
JPN,1968,85-89,4.38,female
JPN,1968,90-94,3.13,female
JPN,1968,95-99,2.27,female
JPN,1968,100-104,1.74,female
JPN,1968,105-109,1.42,female
JPN,1968,110+,1.26,female
JPN,1969,0,74.63,female
JPN,1969,1-4,74.56,female
JPN,1969,5-9,70.84,female
JPN,1969,10-14,65.96,female
JPN,1969,15-19,61.05,female
JPN,1969,20-24,56.17,female
JPN,1969,25-29,51.36,female
JPN,1969,30-34,46.57,female
JPN,1969,35-39,41.81,female
JPN,1969,40-44,37.1,female
JPN,1969,45-49,32.46,female
JPN,1969,50-54,27.95,female
JPN,1969,55-59,23.58,female
JPN,1969,60-64,19.39,female
JPN,1969,65-69,15.46,female
JPN,1969,70-74,11.88,female
JPN,1969,75-79,8.81,female
JPN,1969,80-84,6.34,female
JPN,1969,85-89,4.48,female
JPN,1969,90-94,3.21,female
JPN,1969,95-99,2.32,female
JPN,1969,100-104,1.78,female
JPN,1969,105-109,1.44,female
JPN,1969,110+,1.27,female
JPN,1970,0,74.68,female
JPN,1970,1-4,74.56,female
JPN,1970,5-9,70.83,female
JPN,1970,10-14,65.95,female
JPN,1970,15-19,61.03,female
JPN,1970,20-24,56.16,female
JPN,1970,25-29,51.34,female
JPN,1970,30-34,46.55,female
JPN,1970,35-39,41.78,female
JPN,1970,40-44,37.06,female
JPN,1970,45-49,32.42,female
JPN,1970,50-54,27.89,female
JPN,1970,55-59,23.51,female
JPN,1970,60-64,19.3,female
JPN,1970,65-69,15.36,female
JPN,1970,70-74,11.78,female
JPN,1970,75-79,8.71,female
JPN,1970,80-84,6.26,female
JPN,1970,85-89,4.4,female
JPN,1970,90-94,3.12,female
JPN,1970,95-99,2.27,female
JPN,1970,100-104,1.74,female
JPN,1970,105-109,1.42,female
JPN,1970,110+,1.25,female
JPN,1971,0,75.48,female
JPN,1971,1-4,75.34,female
JPN,1971,5-9,71.6,female
JPN,1971,10-14,66.72,female
JPN,1971,15-19,61.79,female
JPN,1971,20-24,56.91,female
JPN,1971,25-29,52.08,female
JPN,1971,30-34,47.28,female
JPN,1971,35-39,42.5,female
JPN,1971,40-44,37.76,female
JPN,1971,45-49,33.1,female
JPN,1971,50-54,28.54,female
JPN,1971,55-59,24.14,female
JPN,1971,60-64,19.9,female
JPN,1971,65-69,15.91,female
JPN,1971,70-74,12.28,female
JPN,1971,75-79,9.1,female
JPN,1971,80-84,6.56,female
JPN,1971,85-89,4.68,female
JPN,1971,90-94,3.33,female
JPN,1971,95-99,2.42,female
JPN,1971,100-104,1.84,female
JPN,1971,105-109,1.49,female
JPN,1971,110+,1.3,female
JPN,1972,0,75.94,female
JPN,1972,1-4,75.72,female
JPN,1972,5-9,71.98,female
JPN,1972,10-14,67.1,female
JPN,1972,15-19,62.17,female
JPN,1972,20-24,57.28,female
JPN,1972,25-29,52.46,female
JPN,1972,30-34,47.65,female
JPN,1972,35-39,42.86,female
JPN,1972,40-44,38.11,female
JPN,1972,45-49,33.44,female
JPN,1972,50-54,28.89,female
JPN,1972,55-59,24.46,female
