area_id,ref_year,sexid,agegrpstart,nmx,nqx,ndx,npx,lx,nlx,tx,ex
AC,2010,female,0,0.02024,0.019882409,1988.240882,0.980117591,100000,98229.76422,7539807.302,75.39807302
AC,2010,female,1,0.00074,0.002949863,289.1212962,0.997050137,98011.75912,391321.8309,7441577.537,75.92535431
AC,2010,female,5,0.00027,0.001338736,130.8247783,0.998661264,97722.63782,488286.1272,7050255.706,72.14557306
AC,2010,female,10,0.00051,0.002538365,247.7236673,0.997461635,97591.81304,487339.756,6561969.579,67.23893506
AC,2010,female,15,0.0008,0.004009938,390.3437975,0.995990062,97344.08938,485744.5874,6074629.823,62.40368431
AC,2010,female,20,0.0011,0.005487135,531.9983315,0.994512865,96953.74558,483438.7321,5588885.236,57.6448615
AC,2010,female,25,0.0011,0.005485216,528.8941146,0.994514784,96421.74725,480786.501,5105446.504,52.94911832
AC,2010,female,30,0.00147,0.00730409,700.4100571,0.99269591,95892.85313,477713.2405,4624660.003,48.2273689
AC,2010,female,35,0.00167,0.00831164,791.2053306,0.99168836,95192.44308,473984.2021,4146946.762,43.56382322
AC,2010,female,40,0.00225,0.011194368,1056.762225,0.988805632,94401.23775,469364.2832,3672962.56,38.90799155
AC,2010,female,45,0.00361,0.017880326,1669.029636,0.982119674,93344.47552,462549.8035,3203598.277,34.32017009
AC,2010,female,50,0.00615,0.030306088,2778.324088,0.969693912,91675.44588,451431.4192,2741048.474,29.89948341
AC,2010,female,55,0.01046,0.050946678,4529.012999,0.949053322,88897.1218,433163.0765,2289617.054,25.75580635
AC,2010,female,60,0.01613,0.077540039,6541.906457,0.922459961,84368.1088,405485.7778,1856453.978,22.00421468
AC,2010,female,65,0.01759,0.084244866,6556.458017,0.915755134,77826.20234,372739.8667,1450968.2,18.64369784
AC,2010,female,70,0.02575,0.120977723,8622.051387,0.879022277,71269.74432,334793.5931,1078228.333,15.12883684
AC,2010,female,75,0.04154,0.1881434,11786.74994,0.8118566,62647.69294,283771.5898,743434.7403,11.8669133
AC,2010,female,80,0.07143,0.30301988,15411.87683,0.69698012,50860.943,215775.0229,459663.1505,9.037645065
AC,2010,female,85,0.12189,0.467097251,16558.16136,0.532902749,35449.06617,135849.9275,243888.1275,6.87995916
AC,2010,female,90,0.17485,1,18890.90481,0,18890.90481,108038.2001,108038.2001,5.719059048
AC,2010,male,0,0.0247,0.024166208,2416.620834,0.975833792,100000,97853.98717,6845818.64,68.4581864
AC,2010,male,1,0.0008,0.003197293,312.0026836,0.996802707,97583.37917,389578.5286,6747964.653,69.15075816
AC,2010,male,5,0.00029,0.001451125,141.1529512,0.998548875,97271.37648,486004,6358386.124,65.36749406
AC,2010,male,10,0.00055,0.002751272,267.2316744,0.997248728,97130.22353,484983.0385,5872382.124,60.45885525
AC,2010,male,15,0.00221,0.011003471,1065.829152,0.988996529,96862.99186,481650.3864,5387399.086,55.61875576
AC,2010,male,20,0.00283,0.014042655,1345.246464,0.985957345,95797.1627,475622.6974,4905748.7,51.20974944
AC,2010,male,25,0.00295,0.014641618,1382.928915,0.985358382,94451.91624,468802.2589,4430126.002,46.90350581
