area_id,ref_year,sexid,agegrp,agegrpstart,pop
AC,2020,female,0-4,0,40507
AC,2020,female,5-9,5,41477
AC,2020,female,10-14,10,43925
AC,2020,female,15-19,15,45538
AC,2020,female,20-24,20,43258
AC,2020,female,25-29,25,38432
AC,2020,female,30-34,30,35075
AC,2020,female,35-39,35,33865
AC,2020,female,40-44,40,29686
AC,2020,female,45-49,45,23686
AC,2020,female,50-54,50,19599
AC,2020,female,55-59,55,15028
AC,2020,female,60-64,60,11958
AC,2020,female,65-69,65,9015
AC,2020,female,70-74,70,6382
AC,2020,female,75-79,75,4639
AC,2020,female,80-84,80,2736
AC,2020,female,85-89,85,1418
AC,2020,female,90+,90,926
AC,2020,male,0-4,0,42476
AC,2020,male,5-9,5,43387
AC,2020,male,10-14,10,45549
AC,2020,male,15-19,15,47019
AC,2020,male,20-24,20,44217
AC,2020,male,25-29,25,38048
AC,2020,male,30-34,30,34758
AC,2020,male,35-39,35,32843
AC,2020,male,40-44,40,28431
AC,2020,male,45-49,45,22995
AC,2020,male,50-54,50,18924
AC,2020,male,55-59,55,14600
AC,2020,male,60-64,60,11434
AC,2020,male,65-69,65,8620
AC,2020,male,70-74,70,6023
AC,2020,male,75-79,75,3860
AC,2020,male,80-84,80,2227
AC,2020,male,85-89,85,1169
AC,2020,male,90+,90,740
AC,2020,total,0-4,0,82983
AC,2020,total,5-9,5,84864
AC,2020,total,10-14,10,89474
AC,2020,total,15-19,15,92557
AC,2020,total,20-24,20,87475
AC,2020,total,25-29,25,76480
AC,2020,total,30-34,30,69833
AC,2020,total,35-39,35,66708
AC,2020,total,40-44,40,58117
AC,2020,total,45-49,45,46681
AC,2020,total,50-54,50,38523
AC,2020,total,55-59,55,29628
AC,2020,total,60-64,60,23392
AC,2020,total,65-69,65,17635
AC,2020,total,70-74,70,12405
AC,2020,total,75-79,75,8499
AC,2020,total,80-84,80,4963
AC,2020,total,85-89,85,2587
AC,2020,total,90+,90,1666
AC,2021,female,0-4,0,40619
AC,2021,female,5-9,5,41217
AC,2021,female,10-14,10,42992
AC,2021,female,15-19,15,45513
